year,quarter,state_name/ut_name,districts_name,registered_users
2021,2,karnataka,chikkamagaluru district,311052
2021,2,karnataka,haveri district,315491
2021,2,karnataka,ballari district,755860
2021,2,karnataka,belagavi district,1213293
2021,2,karnataka,kolar district,571929
2021,2,karnataka,uttara kannada district,367399
2021,2,karnataka,tumakuru district,790148
2021,2,karnataka,yadgir district,203336
2021,2,karnataka,bengaluru urban district,10604609
2021,2,karnataka,chikkaballapura district,399185
2021,2,karnataka,davanagere district,543821
2021,2,karnataka,bagalkote district,479927
2021,2,karnataka,vijayapura district,582278
2021,2,karnataka,koppal district,308936
2021,2,karnataka,bidar district,441065
2021,2,karnataka,bengaluru rural district,684759
2021,2,karnataka,raichur district,455771
2021,2,karnataka,chamarajanagara district,187469
2021,2,karnataka,dakshina kannada district,798331
2021,2,karnataka,hassan district,526240
2021,2,karnataka,dharwad district,763441
2021,2,karnataka,shivamogga district,526831
2021,2,karnataka,udupi district,407264
2021,2,karnataka,gadag district,240378
2021,3,karnataka,mysuru district,1250860
2021,3,karnataka,chitradurga district,417163
2021,3,karnataka,kalaburagi district,694567
2021,3,karnataka,ramanagara district,448065
2021,3,karnataka,mandya district,528361
2021,3,karnataka,kodagu district,175878
2021,3,karnataka,chikkamagaluru district,335416
2021,3,karnataka,haveri district,340458
2021,3,karnataka,ballari district,814170
2021,3,karnataka,belagavi district,1304051
2021,3,karnataka,kolar district,615004
2021,3,karnataka,uttara kannada district,395160
2021,3,karnataka,tumakuru district,850678
2021,3,karnataka,yadgir district,220170
2021,3,karnataka,bengaluru urban district,11321012
2021,3,karnataka,chikkaballapura district,429845
2021,3,karnataka,davanagere district,584571
2021,3,karnataka,bagalkote district,517079
2021,3,karnataka,vijayapura district,627795
2021,3,karnataka,koppal district,333722
2021,3,karnataka,bidar district,475158
2021,3,karnataka,bengaluru rural district,735551
2021,3,karnataka,raichur district,492375
2021,3,karnataka,chamarajanagara district,202168
2021,3,karnataka,dakshina kannada district,855634
2021,3,karnataka,hassan district,566904
2021,3,karnataka,dharwad district,818797
2021,3,karnataka,shivamogga district,566838
2021,3,karnataka,udupi district,437345
2021,3,karnataka,gadag district,259426
2021,4,karnataka,mysuru district,1332579
2021,4,karnataka,chitradurga district,447221
2021,4,karnataka,kalaburagi district,743146
2021,4,karnataka,ramanagara district,478668
2021,4,karnataka,mandya district,564725
2021,4,karnataka,kodagu district,187714
2021,4,karnataka,chikkamagaluru district,358975
2021,4,karnataka,haveri district,365257
2021,4,karnataka,ballari district,871581
2021,4,karnataka,belagavi district,1393290
2021,4,karnataka,kolar district,657607
2021,4,karnataka,uttara kannada district,422171
2021,4,karnataka,tumakuru district,909976
2021,4,karnataka,yadgir district,236490
2021,4,karnataka,bengaluru urban district,12038775
2021,4,karnataka,chikkaballapura district,459988
2021,4,karnataka,davanagere district,624570
2021,4,karnataka,bagalkote district,554099
2021,4,karnataka,vijayapura district,672340
2021,4,karnataka,koppal district,357841
2021,4,karnataka,bidar district,508686
2021,4,karnataka,bengaluru rural district,785717
2021,4,karnataka,raichur district,528246
2021,4,karnataka,chamarajanagara district,216215
