year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2022,4,karnataka,kodagu district,677,1397314.0
2022,4,karnataka,chikkamagaluru district,1131,2081615.0
2022,4,karnataka,haveri district,758,1158898.0
2022,4,karnataka,ballari district,2729,3502890.0
2022,4,karnataka,belagavi district,3857,5891225.0
2022,4,karnataka,kolar district,1540,2712255.0
2022,4,karnataka,uttara kannada district,1909,2933140.0
2022,4,karnataka,tumakuru district,2515,4131381.0
2022,4,karnataka,yadgir district,419,539970.0
2022,4,karnataka,bengaluru urban district,78817,101938016.0
2022,4,karnataka,chikkaballapura district,1064,1651464.0
2022,4,karnataka,davanagere district,2522,3414588.0
2022,4,karnataka,bagalkote district,1043,1648818.0
2022,4,karnataka,vijayapura district,1601,2307302.0
2022,4,karnataka,koppal district,642,889180.0
2022,4,karnataka,bidar district,1297,1941470.0
2022,4,karnataka,bengaluru rural district,3125,4874888.0
2022,4,karnataka,raichur district,1270,1916078.0
2022,4,karnataka,chamarajanagara district,438,662175.0
2022,4,karnataka,dakshina kannada district,3330,4869464.0
2022,4,karnataka,hassan district,1939,3551663.0
2022,4,karnataka,dharwad district,3751,5149958.0
2022,4,karnataka,shivamogga district,2462,3798640.0
2022,4,karnataka,udupi district,1475,2091760.0
2022,4,karnataka,gadag district,524,790846.0
2020,2,jharkhand,ramgarh district,44,9554.0
2020,2,jharkhand,ranchi district,376,71618.0
2020,2,jharkhand,east singhbhum district,283,56879.0
2020,2,jharkhand,jamtara district,16,3204.0
2020,2,jharkhand,dumka district,9,2326.0
2020,2,jharkhand,koderma district,24,5581.0
2020,2,jharkhand,hazaribagh district,59,12131.0
2020,2,jharkhand,simdega district,3,693.0
2020,2,jharkhand,garhwa district,22,5537.0
2020,2,jharkhand,saraikela kharsawan district,69,13249.0
2020,2,jharkhand,gumla district,2,457.0
2020,2,jharkhand,chatra district,26,6364.0
2020,2,jharkhand,khunti district,2,462.0
2020,2,jharkhand,dhanbad district,741,134652.0
2020,2,jharkhand,godda district,28,6191.0
2020,2,jharkhand,deoghar district,42,8257.0
2020,2,jharkhand,palamu district,43,9949.0
2020,2,jharkhand,latehar district,13,2808.0
2020,2,jharkhand,west singhbhum district,19,4181.0
2020,2,jharkhand,pakur district,3,688.0
2020,2,jharkhand,lohardaga district,5,986.0
2020,2,jharkhand,sahebganj district,19,4214.0
2020,2,jharkhand,giridih district,40,9051.0
2020,2,jharkhand,bokaro district,175,35999.0
2020,3,jharkhand,ramgarh district,199,60283.0
2020,3,jharkhand,ranchi district,1123,283853.0
2020,3,jharkhand,east singhbhum district,698,168697.0
2020,3,jharkhand,jamtara district,31,6282.0
2020,3,jharkhand,dumka district,79,18961.0
2020,3,jharkhand,koderma district,79,18309.0
2020,3,jharkhand,hazaribagh district,238,63439.0
2020,3,jharkhand,simdega district,14,3235.0
2020,3,jharkhand,garhwa district,67,19425.0
2020,3,jharkhand,saraikela kharsawan district,185,42177.0
2020,3,jharkhand,gumla district,42,13677.0
2020,3,jharkhand,chatra district,60,12606.0
2020,3,jharkhand,khunti district,16,4051.0
2020,3,jharkhand,dhanbad district,1459,365170.0
