state,year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
jharkhand,2019,3,2915511,55504460,Vivo,426014,14.61
jharkhand,2019,3,2915511,55504460,Oppo,340074,11.66
jharkhand,2019,3,2915511,55504460,Realme,200809,6.89
jharkhand,2019,3,2915511,55504460,Motorola,67287,2.31
jharkhand,2019,3,2915511,55504460,Lenovo,53451,1.83
jharkhand,2019,3,2915511,55504460,Huawei,42992,1.47
jharkhand,2019,3,2915511,55504460,Apple,37364,1.28
jharkhand,2019,3,2915511,55504460,Gionee,35479,1.22
jharkhand,2019,3,2915511,55504460,Others,304811,10.45
jharkhand,2019,4,3281371,70181789,Xiaomi,958796,29.22
jharkhand,2019,4,3281371,70181789,Samsung,618075,18.84
jharkhand,2019,4,3281371,70181789,Vivo,492621,15.01
jharkhand,2019,4,3281371,70181789,Oppo,389871,11.88
jharkhand,2019,4,3281371,70181789,Realme,239962,7.31
jharkhand,2019,4,3281371,70181789,Motorola,71932,2.19
jharkhand,2019,4,3281371,70181789,Lenovo,56013,1.71
jharkhand,2019,4,3281371,70181789,Huawei,48020,1.46
jharkhand,2019,4,3281371,70181789,Apple,40330,1.23
jharkhand,2019,4,3281371,70181789,Gionee,38155,1.16
jharkhand,2019,4,3281371,70181789,Others,327596,9.98
jharkhand,2020,1,3651393,74014713,Xiaomi,1062496,29.10
jharkhand,2020,1,3651393,74014713,Samsung,679288,18.60
jharkhand,2020,1,3651393,74014713,Vivo,564210,15.45
jharkhand,2020,1,3651393,74014713,Oppo,441507,12.09
jharkhand,2020,1,3651393,74014713,Realme,281656,7.71
jharkhand,2020,1,3651393,74014713,Motorola,76028,2.08
jharkhand,2020,1,3651393,74014713,Lenovo,59716,1.64
jharkhand,2020,1,3651393,74014713,Huawei,52664,1.44
jharkhand,2020,1,3651393,74014713,Apple,43622,1.19
jharkhand,2020,1,3651393,74014713,Gionee,37894,1.04
jharkhand,2020,1,3651393,74014713,Others,352312,9.65
jharkhand,2020,2,4061035,76339276,Xiaomi,1173662,28.90
jharkhand,2020,2,4061035,76339276,Samsung,747993,18.42
jharkhand,2020,2,4061035,76339276,Vivo,646094,15.91
jharkhand,2020,2,4061035,76339276,Oppo,500447,12.32
jharkhand,2020,2,4061035,76339276,Realme,324410,7.99
jharkhand,2020,2,4061035,76339276,Motorola,80707,1.99
jharkhand,2020,2,4061035,76339276,Lenovo,62936,1.55
jharkhand,2020,2,4061035,76339276,Huawei,56895,1.40
jharkhand,2020,2,4061035,76339276,Apple,46009,1.13
jharkhand,2020,2,4061035,76339276,Gionee,40449,1.00
jharkhand,2020,2,4061035,76339276,Others,381433,9.39
jharkhand,2020,3,4480027,99318784,Xiaomi,1282150,28.62
jharkhand,2020,3,4480027,99318784,Samsung,820590,18.32
jharkhand,2020,3,4480027,99318784,Vivo,738721,16.49
jharkhand,2020,3,4480027,99318784,Oppo,558559,12.47
jharkhand,2020,3,4480027,99318784,Realme,373131,8.33
jharkhand,2020,3,4480027,99318784,Motorola,85215,1.90
jharkhand,2020,3,4480027,99318784,Lenovo,66247,1.48
jharkhand,2020,3,4480027,99318784,Huawei,60940,1.36
jharkhand,2020,3,4480027,99318784,Apple,49073,1.10
