year,quarter,entity_type,entity_name,transaction_type,count,amount
2022,4,pincodes,160015,TOTAL,388983,364733884.5473629
2022,4,pincodes,160014,TOTAL,311834,407770670.02106357
2022,4,pincodes,160019,TOTAL,290223,391262191.8409227
2022,4,pincodes,160030,TOTAL,224733,354874011.1706954
2018,1,districts,east,TOTAL,24432,35907388.054869555
2018,1,districts,south,TOTAL,11355,16098282.748140384
2018,1,districts,west,TOTAL,4845,7468491.334182342
2018,1,districts,north,TOTAL,3446,5176776.803176151
2018,1,pincodes,737101,TOTAL,5740,8443342.10723518
2018,1,pincodes,737102,TOTAL,4923,8507451.80127644
2018,1,pincodes,737132,TOTAL,4892,6610610.223672188
2018,1,pincodes,737136,TOTAL,4652,5416856.56543864
2018,1,pincodes,737135,TOTAL,3904,6401450.466799366
2018,1,pincodes,737134,TOTAL,3423,5271681.513652561
2018,1,pincodes,737113,TOTAL,2353,3784089.3561765887
2018,1,pincodes,737126,TOTAL,1875,2909397.045070725
2018,1,pincodes,737120,TOTAL,1611,2684577.3333517457
2018,1,pincodes,737103,TOTAL,1571,1867581.060805669
2018,2,districts,east,TOTAL,40432,83823658.19224699
2018,2,districts,south,TOTAL,16740,27651617.534535274
2018,2,districts,west,TOTAL,10671,19368446.483524587
2018,2,districts,north,TOTAL,6735,12849363.319488723
2018,2,pincodes,737101,TOTAL,10559,25376078.163594432
2018,2,pincodes,737102,TOTAL,8320,17627063.52206016
2018,2,pincodes,737132,TOTAL,7587,12429404.052329008
2018,2,pincodes,737134,TOTAL,6615,12023487.660533402
2018,2,pincodes,737136,TOTAL,6185,8200222.822791161
2018,2,pincodes,737113,TOTAL,6034,9201956.61756061
2018,2,pincodes,737135,TOTAL,5406,11530694.897931118
2018,2,pincodes,737120,TOTAL,3787,7797319.794669708
2018,2,pincodes,737126,TOTAL,3076,5486738.553643836
2018,2,pincodes,737103,TOTAL,2521,5845389.535137591
2018,3,districts,east,TOTAL,59571,133322127.02823457
2018,3,districts,south,TOTAL,24662,40036375.9623436
2018,3,districts,west,TOTAL,14121,33797876.56771384
2018,3,districts,north,TOTAL,10146,27923847.395025603
2018,3,pincodes,737101,TOTAL,14511,34011083.76562938
2018,3,pincodes,737102,TOTAL,12719,30285691.23135621
2018,3,pincodes,737132,TOTAL,11706,21297531.718367998
2018,3,pincodes,737136,TOTAL,9650,13225690.976560615
2018,3,pincodes,737134,TOTAL,8947,18373605.65640023
2018,3,pincodes,737135,TOTAL,8118,16350127.884927034
2018,3,pincodes,737113,TOTAL,7647,15980561.151862796
2018,3,pincodes,737120,TOTAL,6069,18273776.575938575
2018,3,pincodes,737126,TOTAL,5013,9609944.747983705
2018,3,pincodes,737121,TOTAL,3808,8408431.743646935
2018,4,districts,east,TOTAL,84485,216960325.35148895
2018,4,districts,south,TOTAL,34495,60113689.048481904
2018,4,districts,west,TOTAL,19567,51859359.64770544
2018,4,districts,north,TOTAL,15986,54207984.03057738
2018,4,pincodes,737101,TOTAL,20274,53997162.86355927
2018,4,pincodes,737102,TOTAL,17874,51134858.40890253
2018,4,pincodes,737132,TOTAL,14835,29688373.692548778
2018,4,pincodes,737134,TOTAL,12922,27493186.61969518
2018,4,pincodes,737135,TOTAL,12194,28644361.465561144
2018,4,pincodes,737136,TOTAL,10755,16186830.441481423
2018,4,pincodes,737113,TOTAL,9958,25407465.402388126
2018,4,pincodes,737120,TOTAL,9848,35890081.440197214
2018,4,pincodes,737126,TOTAL,6911,16121583.56245052
2018,4,pincodes,737103,TOTAL,6441,19760103.614122108
2019,1,districts,east,TOTAL,155482,291845617.9832262
2019,1,districts,south,TOTAL,47506,76869333.72007152
2019,1,districts,west,TOTAL,21489,46329216.02416057
